tics	cnt	totvol	avgvol
OPTI	64	23636200	369315.625
AGFB	64	22880100	357501.5625
ZEN	64	2900	45.3125
VASTB	64	55900	873.4375
FP	64	0	0
PCBB	64	35300	551.5625
SMAR	64	1099700	17182.8125
FLUX	64	151100	2360.9375
MOP	64	0	0
WOLE	64	0	0
SGO	64	0	0
SAIG	64	0	0
AGS	64	29139000	455296.875
JEN	64	252100	3939.0625
KIN	64	1119100	17485.9375
LOUV	64	800	12.5
WESL	64	0	0
LEAS	64	138700	2167.1875
SAB	64	2500	39.0625
IEP	64	479400	7490.625
ECONB	64	11101400	173459.375
MOUR	64	8100	126.5625
KOR	64	400	6.25
ACCB	64	34183400	534115.625
DEXB	64	107958800	1686856.25
MONT	64	172300	2692.1875
TEXF	64	27100	423.4375
REC	64	3766600	58853.125
AUDB	64	900	14.0625
MELE	64	1738900	27170.3125
SOF	64	717000	11203.125
ABI	64	87934200	1373971.875
TUB	64	776200	12128.125
INGA	64	0	0
DIE	64	4679600	73118.75
RHJI	64	7286900	113857.8125
EURN	64	17649400	275771.875
AED	64	539400	8428.125
ROU	64	183000	2859.375
TUBAT	64	4000	62.5
GLPG	64	7052500	110195.3125
EZBG	64	322000	5031.25
FLOB	64	7100	110.9375
MIKO	64	27400	428.125
MAC	64	0	0
UNITB	64	100600	1571.875
SPA	64	9800	153.125
MOPF	64	0	0
RCUS	64	8261600	129087.5
LOTB	64	17100	267.1875
ZTS	64	290600	4540.625
KEYW	64	870600	13603.125
GBLB	64	5536600	86509.375
SIOE	64	579400	9053.125
DISL	64	0	0
EVS	64	2158500	33726.5625
BANI	64	279500	4367.1875
CFEB	64	1250500	19539.0625
VGP	64	12300	192.1875
COFB	64	2171100	33923.4375
MDXH	64	10830100	169220.3125
SOLV	64	74300	1160.9375
ELI	64	1774800	27731.25
SCHD	64	0	0
BELR	64	0	0
QRF	64	143200	2237.5
NYR	64	50741700	792839.0625
ABO	64	5090500	79539.0625
MEDV	64	38400	600
BIL	64	1642800	25668.75
CARD	64	2576100	40251.5625
SAP	64	11000	171.875
TNET	64	6038700	94354.6875
COLR	64	10283500	160679.6875
WDP	64	771000	12046.875
TESB	64	4129500	64523.4375
MACK	64	500	7.8125
MARC	64	1100	17.1875
KBCA	64	4233300	66145.3125
UCB	64	18812300	293942.1875
HAMO	64	273700	4276.5625
BELU	64	11700	182.8125
MOBB	64	8371700	130807.8125
BEAB	64	2500	39.0625
LUXA	64	2400	37.5
BPOST	64	29943300	467864.0625
FOY	64	27000	421.875
SUCR	64	3700	57.8125
QFG	63	775600	12311.111111111111
TIG	64	225500800	3523450
CAMB	64	12000	187.5
VAN	64	526900	8232.8125
WEHB	64	78900	1232.8125
ENINV	64	379200	5925
IMMOU	64	5600	87.5
RTL	64	1441600	22525
THI	64	4800	75
ZENT	64	542700	8479.6875
BAS	64	1000	15.625
UMI	64	36157800	564965.625
BEFB	64	1550100	24220.3125
NEU	64	500	7.8125
ABLX	64	15368400	240131.25
BELG	64	41049400	641396.875
GRYFO	64	224000	3500
VIO	64	3332100	52064.0625
WOLS	64	0	0
ENGB	64	400	6.25
DELB	64	34512800	539262.5
CONN	64	197200	3081.25
DECB	64	15274900	238670.3125
IBAB	64	1519900	23748.4375
FOU	64	110800	1731.25
ENVI	64	0	0
GENK	64	1900	29.6875
BAR	64	1600600	25009.375
ACKB	64	2109000	32953.125
REA	64	747400	11678.125
BEKB	64	5493100	85829.6875
PIC	64	377500	5898.4375
COMB	64	61200	956.25
DIEG	64	600	9.375
KBC	64	67824400	1059756.25
VRAP	64	0	0
RES	64	134700	2104.6875
EXM	64	4348300	67942.1875
SIP	64	197400	3084.375
BNB	64	3100	48.4375
CMB	64	1451100	22673.4375
WESB	64	100	1.5625
ATEB	64	139300	2176.5625
THR	64	10132500	158320.3125
PAY	64	273900	4279.6875
ASC	64	73800	1153.125
OIM	64	7934600	123978.125
SOLB	64	11741000	183453.125
ANT	64	200	3.125
CPINV	63	199500	3166.6666666666665
GLOG	64	998500	15601.5625
TERB	64	27200	425
IMMO	64	101000	1578.125
GIMB	63	1256700	19947.619047619046
BREB	64	366000	5718.75
